@RELATION rozgwiazda_data
@ATTRIBUTE a	REAL
@ATTRIBUTE b REAL
@ATTRIBUTE c REAL
@ATTRIBUTE d REAL
@ATTRIBUTE e REAL
@ATTRIBUTE class	{1,2,3,4,5}

@DATA
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,1,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,1,0,1,2
0,0,1,0,1,2
0,0,1,0,1,2
0,0,1,0,1,2
0,0,1,0,1,2
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,1,3
0,0,0,0,1,3
0,0,0,0,1,3
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
